0,1,2,3,4,5,6,7,Gender,MaritalStatus,HomeOwnerFlag,NumberCarsOwned,NumberChildrenAtHome,TotalChildren,YearlyIncome,Age,BikeBuyer
0,0,0,0,0,0,1,0,1,0,1,-1.320246198,-0.65670996,-0.006876451,1.502656553,-0.396684692,0
0,0,0,0,0,0,1,0,1,1,0,-0.44223166,1.320040449,0.587186083,0.576502102,-0.307694173,1
0,0,0,0,0,0,1,0,1,0,1,-0.44223166,1.320040449,0.587186083,0.345101886,-0.307694173,0
0,0,0,0,0,0,1,0,0,1,0,-0.44223166,-0.65670996,-1.195001519,0.212819271,-0.574665732,0
0,0,0,0,0,0,1,0,0,1,1,2.191811954,2.637874055,1.77531115,0.365886638,-0.574665732,1
0,0,0,0,0,0,1,0,1,1,1,-0.44223166,-0.65670996,-1.195001519,0.628287839,-0.307694173,1
0,0,0,0,0,0,1,0,0,1,1,-0.44223166,-0.65670996,-1.195001519,0.164204088,-0.307694173,1
0,0,0,0,0,0,1,0,1,0,1,0.435782878,1.320040449,0.587186083,0.793358024,-0.218703653,1
0,0,0,0,0,0,1,0,0,1,1,1.313797416,1.978957252,1.181248617,0.245959123,-0.218703653,1
0,0,0,0,0,0,1,0,1,1,0,-0.44223166,-0.65670996,-1.195001519,0.70880988,-0.218703653,0
0,0,0,0,0,0,1,0,0,1,0,-0.44223166,-0.65670996,-1.195001519,0.077089305,-0.218703653,0
0,0,0,0,0,0,1,0,1,0,1,2.191811954,1.978957252,1.181248617,0.397541865,-0.129713134,1
0,0,0,0,1,0,0,0,0,0,1,0.435782878,-0.65670996,-0.006876451,0.528792792,-0.574665732,1
0,0,0,0,1,0,0,0,1,0,1,1.313797416,-0.65670996,-0.006876451,0.946853164,-0.574665732,0
0,0,0,0,1,0,0,0,0,1,0,1.313797416,-0.65670996,0.587186083,0.677557263,-0.574665732,0
0,0,1,0,0,0,0,1,0,1,0,-0.44223166,-0.65670996,-1.195001519,-0.961720514,-1.553561448,0
0,0,1,0,0,0,0,1,1,0,1,-0.44223166,-0.65670996,-1.195001519,-0.790686666,-1.553561448,0
0,1,0,0,0,0,0,1,1,1,0,0.435782878,-0.65670996,-1.195001519,-0.724079841,-1.464570928,1
0,1,0,0,0,0,0,1,1,1,0,0.435782878,-0.65670996,-1.195001519,-0.864943086,-1.464570928,0
0,0,1,0,0,0,0,1,1,0,1,-0.44223166,-0.65670996,-1.195001519,-0.709208426,-1.464570928,0
0,0,1,0,0,0,0,1,1,0,1,0.435782878,-0.65670996,-1.195001519,0.328267747,-1.464570928,0
0,0,0,1,0,0,0,0,1,0,1,0.435782878,0.002206843,-0.006876451,-1.356203026,1.47211622,0
0,0,1,0,0,0,0,0,1,1,0,0.435782878,-0.65670996,-0.006876451,-0.410798775,1.3831257,0
0,0,1,0,0,0,0,0,1,0,1,0.435782878,-0.65670996,-0.006876451,-0.726747133,1.3831257,0
0,0,1,0,0,0,0,0,0,0,1,0.435782878,-0.65670996,-0.006876451,-0.859633664,1.3831257,0
0,1,0,0,0,0,0,1,0,0,1,0.435782878,-0.65670996,1.181248617,-1.494373816,1.294135181,0
0,1,0,0,0,0,0,1,0,0,1,0.435782878,-0.65670996,1.181248617,-1.569410293,1.294135181,0
0,1,0,0,0,0,0,1,1,0,1,0.435782878,-0.65670996,1.181248617,-1.067128899,1.294135181,0
0,1,0,0,0,0,0,1,0,0,1,0.435782878,-0.65670996,1.181248617,-1.238364052,1.294135181,0
0,0,0,1,0,0,0,0,0,0,1,0.435782878,0.002206843,-0.006876451,-1.673585684,1.205144661,0
0,0,1,0,0,0,0,1,0,0,1,0.435782878,-0.65670996,-1.195001519,0.167575949,-1.464570928,0
0,0,0,1,0,0,0,0,0,1,0,0.435782878,-0.65670996,-1.195001519,-0.744311003,-1.375580408,0
0,0,0,0,0,0,1,0,1,1,0,0.435782878,-0.65670996,-1.195001519,1.290028038,-1.197599369,1
0,0,1,0,0,0,0,1,1,0,1,0.435782878,-0.65670996,-1.195001519,-0.553146645,-1.375580408,0
0,0,1,0,0,0,0,1,0,0,1,0.435782878,-0.65670996,-1.195001519,-0.001520338,-1.375580408,0
0,0,1,0,0,0,0,1,0,0,1,0.435782878,-0.65670996,-1.195001519,-0.191426539,-1.375580408,0
0,0,1,0,0,0,0,1,1,0,1,0.435782878,-0.65670996,-1.195001519,-0.0020236,-1.286589889,0
0,0,0,1,0,0,0,0,1,0,1,0.435782878,0.002206843,-0.006876451,-1.364431372,1.116154141,0
0,1,0,0,0,0,0,1,1,1,0,0.435782878,-0.65670996,0.587186083,-0.673325792,1.027163622,0
0,1,0,0,0,0,0,1,0,0,1,0.435782878,-0.65670996,0.587186083,-0.690285747,1.027163622,0
0,1,0,0,0,0,0,1,0,0,0,0.435782878,-0.65670996,0.587186083,-0.893100637,1.027163622,0
0,0,0,1,0,0,0,0,0,1,1,0.435782878,-0.65670996,-1.195001519,-0.750073362,-1.642551967,1
0,1,0,0,0,0,0,1,1,0,1,0.435782878,-0.65670996,0.587186083,-0.494340392,0.938173102,0
0,1,0,0,0,0,0,1,1,1,0,0.435782878,-0.65670996,0.587186083,-0.811471418,0.938173102,0
0,0,1,0,0,0,0,0,0,1,0,0.435782878,-0.65670996,-0.006876451,-0.690487052,0.938173102,0
0,0,1,0,0,0,0,1,0,0,0,0.435782878,-0.65670996,-1.195001519,0.33639544,-1.642551967,0
0,0,1,0,0,0,0,1,0,0,1,0.435782878,-0.65670996,-0.006876451,-0.709912994,0.849182582,0
0,0,1,0,0,0,0,1,1,0,1,0.435782878,-0.65670996,-0.006876451,-0.623326637,0.849182582,0
0,0,1,0,0,0,0,1,0,0,1,0.435782878,-0.65670996,0.587186083,-0.99752766,0.760192063,0
1,0,0,0,1,0,0,0,1,0,1,0.435782878,-0.65670996,-0.006876451,1.039478675,0.760192063,0
0,0,1,0,0,0,0,1,1,0,1,0.435782878,-0.65670996,-0.006876451,1.050600782,0.671201543,0
0,0,1,0,0,0,0,1,0,1,1,0.435782878,-0.65670996,-0.006876451,0.219487502,0.671201543,0
0,0,1,0,0,0,0,1,1,0,1,0.435782878,-0.65670996,-0.006876451,0.959661202,0.671201543,0
0,0,1,0,0,0,0,1,1,0,1,0.435782878,-0.65670996,-0.006876451,0.817338494,0.671201543,1
0,1,0,0,0,0,0,1,1,0,1,0.435782878,-0.65670996,-1.195001519,-0.656391,-1.197599369,0
0,1,0,0,0,0,0,1,0,1,1,0.435782878,-0.65670996,-1.195001519,-0.720204717,-1.197599369,0
0,1,0,0,0,0,0,1,1,0,1,0.435782878,-0.65670996,-1.195001519,-0.501360908,-1.197599369,0
0,0,1,0,0,0,0,1,0,0,0,0.435782878,-0.65670996,-1.195001519,-0.121850463,-1.01961833,1
0,0,1,0,0,0,1,0,0,0,1,0.435782878,-0.65670996,-1.195001519,-0.416309502,-1.01961833,0
0,0,1,0,0,0,1,0,1,1,1,0.435782878,-0.65670996,-1.195001519,0.448371404,-1.286589889,1
0,1,0,0,0,0,0,1,1,0,1,0.435782878,-0.65670996,-0.006876451,0.796478253,0.582211023,0
0,1,0,0,0,0,0,1,0,1,1,0.435782878,-0.65670996,-0.006876451,0.716836921,0.582211023,0
0,1,0,0,0,0,0,1,0,1,0,0.435782878,-0.65670996,-0.006876451,0.488556935,0.582211023,0
0,1,0,0,0,0,0,1,0,1,1,0.435782878,-0.65670996,-0.006876451,-0.486011394,0.493220504,0
0,1,0,0,0,0,0,1,1,1,1,0.435782878,-0.65670996,-0.006876451,0.395151367,0.493220504,0
0,1,0,0,0,0,1,0,0,1,1,0.435782878,-0.65670996,-0.006876451,0.526075173,0.404229984,0
0,1,0,0,0,0,1,0,1,1,1,0.435782878,-0.65670996,-0.006876451,0.850855794,0.404229984,0
0,1,0,0,0,0,1,0,0,1,0,0.435782878,-0.65670996,-0.006876451,0.767414828,0.404229984,0
0,1,0,0,0,0,1,0,0,1,0,0.435782878,-0.65670996,-1.195001519,-0.733415365,-1.10860885,1
1,0,0,0,1,0,0,0,1,1,1,0.435782878,-0.65670996,-1.195001519,2.370709319,0.226248945,0
1,0,0,0,1,0,0,0,1,0,1,0.435782878,-0.65670996,-1.195001519,2.600851378,0.226248945,1
0,0,0,0,1,0,0,0,0,0,1,1.313797416,0.661123646,-0.006876451,1.75836436,-0.396684692,0
1,0,0,0,1,0,0,0,0,1,0,1.313797416,0.002206843,-0.600938985,1.798826685,-0.396684692,1
1,0,0,0,1,0,0,0,0,0,1,1.313797416,0.002206843,-0.600938985,2.15604259,-0.396684692,1
0,1,0,0,0,0,1,0,0,1,0,0.435782878,-0.65670996,-0.006876451,-0.285108901,0.404229984,0
0,0,1,0,0,0,1,0,1,0,1,-1.320246198,0.002206843,-0.006876451,0.493287605,0.404229984,0
0,0,0,0,1,0,0,0,1,0,1,-1.320246198,0.002206843,-0.006876451,1.300420414,0.404229984,0
0,0,0,0,1,0,0,0,0,1,1,-0.44223166,0.002206843,-0.006876451,0.339666648,0.404229984,1
0,0,1,0,0,0,1,0,1,1,1,-0.44223166,-0.65670996,-0.006876451,0.897130804,0.404229984,0
0,0,1,0,0,0,1,0,1,0,1,-0.44223166,-0.65670996,-0.006876451,0.870382389,0.404229984,0
1,0,0,0,1,0,0,0,0,0,1,-1.320246198,-0.65670996,-1.195001519,0.719881661,-0.485675212,0
0,0,1,0,0,0,0,1,1,1,0,-0.44223166,-0.65670996,-0.600938985,0.268153011,-0.040722614,1
0,0,1,0,0,0,0,1,1,1,1,-0.44223166,-0.65670996,-0.600938985,0.767716786,-0.040722614,0
0,0,0,0,0,0,1,0,1,0,1,-0.44223166,-0.65670996,-0.600938985,0.723203195,-0.040722614,1
